#{"t_start": 1650883994.0944488, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.743318
16.0,16,1.752583
12.0,12,1.817298
43.0,43,1.897594
21.0,21,1.969786
42.0,42,2.048582
12.0,12,2.112397
149.0,149,2.419437
154.0,154,2.822443
121.0,121,3.110256
79.0,79,3.263602
113.0,113,3.549274
215.0,215,3.997157
104.0,104,4.274927
273.0,273,4.865538
500.0,500,6.022838
247.0,247,6.649632
183.0,183,7.027175
195.0,195,7.465731
500.0,500,8.623017
500.0,500,10.586498
500.0,500,11.714329
500.0,500,12.873731
500.0,500,14.085595
500.0,500,15.239048
500.0,500,16.409923
500.0,500,18.297932
500.0,500,19.458297
500.0,500,20.614757
500.0,500,21.762
500.0,500,22.920176
500.0,500,24.110414
500.0,500,26.049205
500.0,500,27.215706
500.0,500,28.318526
500.0,500,29.478874
500.0,500,30.674163
500.0,500,31.778769
500.0,500,32.938809
