#{"t_start": 1650883994.068953, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.768708
49.0,49,1.85384
60.0,60,2.004146
38.0,38,2.138568
26.0,26,2.152668
48.0,48,2.291626
136.0,136,2.624971
128.0,128,2.923253
127.0,127,3.213943
150.0,150,3.574658
121.0,121,3.863229
139.0,139,4.158987
97.0,97,4.375481
240.0,240,4.893844
500.0,500,6.051397
219.0,219,6.605648
176.0,176,6.980694
190.0,190,7.415588
500.0,500,8.573063
500.0,500,10.502017
500.0,500,11.665638
500.0,500,12.825202
500.0,500,13.97954
500.0,500,15.18826
500.0,500,16.360872
500.0,500,18.249683
500.0,500,19.408781
500.0,500,20.56621
500.0,500,21.711539
500.0,500,22.871659
500.0,500,24.006373
500.0,500,25.999094
500.0,500,27.165855
500.0,500,28.270035
500.0,500,29.430058
500.0,500,30.624653
500.0,500,31.728354
500.0,500,32.889797
