#{"t_start": 1651136616.2464662, "env_id": "CartPole-v1"}
r,l,t
20.0,20,0.031714
41.0,41,0.116087
10.0,10,0.177389
11.0,11,0.183581
11.0,11,0.189714
17.0,17,0.253348
27.0,27,0.322361
28.0,28,0.392666
103.0,103,0.616608
60.0,60,0.758736
83.0,83,0.914669
53.0,53,1.062195
165.0,165,1.425632
299.0,299,2.087715
262.0,262,2.727902
139.0,139,3.072394
128.0,128,3.36484
301.0,301,4.059266
165.0,165,4.489285
145.0,145,4.79332
500.0,500,5.952309
500.0,500,7.090835
500.0,500,9.046544
500.0,500,10.215103
500.0,500,11.375919
500.0,500,12.560741
500.0,500,13.684856
500.0,500,14.846122
500.0,500,16.80195
500.0,500,17.897584
500.0,500,19.109775
500.0,500,20.266901
500.0,500,21.364233
500.0,500,22.546492
500.0,500,24.497268
500.0,500,25.651854
500.0,500,26.804877
500.0,500,27.95333
500.0,500,29.129456
500.0,500,30.294018
