#{"t_start": 1651059048.5035148, "env_id": "CartPole-v1"}
r,l,t
22.0,22,0.033594
13.0,13,0.103031
16.0,16,0.112173
17.0,17,0.180658
24.0,24,0.194223
73.0,73,0.407619
84.0,84,0.567627
95.0,95,0.789815
162.0,162,1.160877
105.0,105,1.449716
198.0,198,1.897327
90.0,90,2.116082
147.0,147,2.453088
99.0,99,2.676059
500.0,500,3.860607
153.0,153,4.234393
149.0,149,4.542458
129.0,129,4.838774
113.0,113,5.12803
132.0,132,5.435926
107.0,107,5.665565
123.0,123,5.958905
131.0,131,6.299022
156.0,156,6.676315
194.0,194,7.121624
433.0,433,8.948266
228.0,228,9.484818
346.0,346,10.321064
500.0,500,11.457665
500.0,500,12.634737
500.0,500,13.822357
500.0,500,14.981022
500.0,500,16.934724
500.0,500,18.069553
500.0,500,19.30399
500.0,500,20.488646
500.0,500,21.619001
500.0,500,22.820471
500.0,500,24.777095
500.0,500,25.91073
500.0,500,27.133923
500.0,500,28.272353
500.0,500,29.47768
500.0,500,30.675995
