#{"t_start": 1651059048.508616, "env_id": "CartPole-v1"}
r,l,t
23.0,23,0.029487
37.0,37,0.112169
70.0,70,0.325583
66.0,66,0.475845
21.0,21,0.487388
47.0,47,0.627761
109.0,109,0.857141
132.0,132,1.15523
156.0,156,1.529683
260.0,260,2.122929
131.0,131,2.451259
106.0,106,2.734933
500.0,500,3.864504
175.0,175,4.304523
131.0,131,4.604035
129.0,129,4.899899
128.0,128,5.197906
135.0,135,5.506688
121.0,121,5.800171
142.0,142,6.106013
146.0,146,6.512349
220.0,220,7.034267
203.0,203,8.282228
287.0,287,8.9487
197.0,197,9.411038
289.0,289,10.078444
500.0,500,11.297623
500.0,500,12.474366
500.0,500,13.604179
500.0,500,14.818957
500.0,500,16.715605
500.0,500,17.908376
500.0,500,19.141338
500.0,500,20.271503
500.0,500,21.458359
500.0,500,22.660125
500.0,500,24.561753
500.0,500,25.75047
500.0,500,26.908816
500.0,500,28.108829
500.0,500,29.31565
500.0,500,30.459349
500.0,500,31.633393
