#{"t_start": 1650885653.231849, "env_id": "CartPole-v1"}
r,l,t
20.0,20,0.932153
26.0,26,1.008196
23.0,23,1.076769
21.0,21,1.088857
16.0,16,1.155771
11.0,11,1.162143
15.0,15,1.225822
15.0,15,1.234732
27.0,27,1.309374
33.0,33,1.397096
54.0,54,1.542885
18.0,18,1.553172
35.0,35,1.630048
72.0,72,1.843763
70.0,70,2.004974
86.0,86,2.172205
64.0,64,2.321772
113.0,113,2.626073
131.0,131,2.925263
169.0,169,3.30921
25.0,25,3.389766
57.0,57,3.536954
122.0,122,3.830358
248.0,248,4.36527
159.0,159,4.747288
215.0,215,5.266102
500.0,500,6.478431
500.0,500,7.631786
