#{"t_start": 1651076929.375437, "env_id": "HalfCheetah-v3"}
r,l,t
-340.124759,1000,0.34992
-330.687153,1000,0.660622
-246.38548,1000,0.966512
-251.525956,1000,1.296621
-246.290773,1000,1.657006
-293.018574,1000,1.971518
-243.750737,1000,2.301501
-347.606801,1000,2.6176
-135.716266,1000,2.929603
-351.795619,1000,3.239756
-379.809453,1000,20.69586
-184.991566,1000,38.309065
-233.754241,1000,56.19768
-251.354811,1000,73.79033
-216.494265,1000,91.342792
-109.017718,1000,109.20369
-155.269858,1000,126.865353
-144.117052,1000,144.400195
-257.791243,1000,161.901063
-161.114758,1000,179.520002
-128.621906,1000,197.059484
-159.000745,1000,214.668884
-125.172422,1000,232.230771
-336.105183,1000,251.424799
-4.840056,1000,270.048086
