#{"t_start": 1651059802.133234, "env_id": "CartPole-v1"}
r,l,t
23.0,23,0.029325
12.0,12,0.096247
19.0,19,0.106926
27.0,27,0.177638
13.0,13,0.184871
46.0,46,0.320159
29.0,29,0.391221
19.0,19,0.401626
19.0,19,0.46758
139.0,139,0.782835
33.0,33,0.8571
71.0,71,1.061068
133.0,133,1.359134
122.0,122,1.672866
195.0,195,2.114572
198.0,198,2.559353
497.0,497,3.661082
500.0,500,4.835594
499.0,499,6.030247
448.0,448,7.061746
500.0,500,8.973957
500.0,500,10.169222
500.0,500,11.294628
500.0,500,12.469511
500.0,500,13.674973
500.0,500,14.803743
500.0,500,16.7397
500.0,500,17.935248
500.0,500,19.06614
500.0,500,20.240317
500.0,500,21.357305
500.0,500,22.558608
500.0,500,24.495213
500.0,500,25.636419
500.0,500,26.851654
500.0,500,28.03774
500.0,500,29.155344
500.0,500,30.346111
