#{"t_start": 1650885718.9915898, "env_id": "CartPole-v1"}
r,l,t
18.0,18,0.957005
11.0,11,0.962723
11.0,11,1.03008
51.0,51,1.115699
28.0,28,1.188605
21.0,21,1.256999
20.0,20,1.268223
59.0,59,1.413657
90.0,90,1.635011
79.0,79,1.848207
88.0,88,2.012413
113.0,113,2.310787
196.0,196,2.770837
150.0,150,3.141851
48.0,48,3.224002
135.0,135,3.526407
162.0,162,3.903007
200.0,200,4.438257
396.0,396,5.389431
118.0,118,5.680647
119.0,119,5.982904
169.0,169,6.359352
500.0,500,7.500056
500.0,500,9.98093
500.0,500,11.23424
500.0,500,12.409243
500.0,500,13.626996
500.0,500,14.850168
500.0,500,15.995116
500.0,500,17.971899
500.0,500,19.107656
500.0,500,20.320644
500.0,500,21.589848
500.0,500,22.790231
500.0,500,24.025333
500.0,500,25.287055
500.0,500,27.309349
500.0,500,28.5464
500.0,500,29.769008
500.0,500,31.0169
500.0,500,32.270323
500.0,500,33.458169
