#{"t_start": 1650885719.0614028, "env_id": "CartPole-v1"}
r,l,t
24.0,24,0.890503
10.0,10,0.95702
16.0,16,0.966137
35.0,35,1.042392
19.0,19,1.110426
19.0,19,1.121186
49.0,49,1.261432
51.0,51,1.346098
48.0,48,1.487031
104.0,104,1.714777
33.0,33,1.790442
91.0,91,2.01718
103.0,103,2.248144
154.0,154,2.628201
117.0,117,2.921919
96.0,96,3.146259
119.0,119,3.382798
139.0,139,3.746921
133.0,133,4.052614
280.0,280,4.786351
138.0,138,5.092005
142.0,142,5.403324
52.0,52,5.543094
156.0,156,5.922077
162.0,162,6.29421
500.0,500,7.493812
500.0,500,9.916355
500.0,500,11.169355
500.0,500,12.40016
500.0,500,13.562149
500.0,500,14.785353
500.0,500,15.930062
500.0,500,17.90661
500.0,500,19.100487
500.0,500,20.255818
500.0,500,21.525098
500.0,500,22.7849
500.0,500,23.960533
500.0,500,25.222244
500.0,500,27.244573
500.0,500,28.481517
500.0,500,29.763056
500.0,500,30.952264
500.0,500,32.205498
500.0,500,33.454567
