#{"t_start": 1650965712.7649128, "env_id": "Pendulum-v1"}
r,l,t
-855.662041,200,1.675231
-1686.097246,200,4.985294
-1560.425803,200,8.305698
-1713.717748,200,11.656753
-1509.588665,200,15.100478
-1710.307349,200,18.50804
-1549.988163,200,21.902786
-1605.966594,200,25.325227
-1267.553934,200,28.771366
-1163.108224,200,32.166
-925.854908,200,35.570305
-911.137523,200,39.001209
-782.75432,200,42.404614
-445.15488,200,45.822101
-261.572225,200,49.266899
-254.820759,200,52.72087
-128.731004,200,56.130752
-248.704299,200,59.586622
-255.155063,200,63.027025
-242.333806,200,66.440639
-128.714428,200,69.868454
-116.629823,200,73.298085
-125.697068,200,76.732804
-2.134638,200,80.178428
-1.666166,200,83.617081
-128.049296,200,87.046175
-246.107908,200,90.486206
-1.053783,200,93.868324
-2.166924,200,97.295946
-2.194255,200,100.717367
-122.457211,200,104.140351
-1355.463636,200,107.557335
-1088.982032,200,111.007644
-125.808703,200,114.459979
-224.763844,200,117.878838
-368.032691,200,121.293247
-252.937424,200,124.751312
-126.104911,200,128.190672
-242.899115,200,131.66737
-1.122043,200,135.117354
-126.800319,200,138.58743
-123.975683,200,142.017695
-237.827626,200,145.493318
-119.590153,200,148.95182
-344.087739,200,152.441342
-125.60146,200,155.885925
-121.848301,200,159.381609
