#{"t_start": 1650885190.371565, "env_id": "CartPole-v1"}
r,l,t
10.0,10,1.401429
13.0,13,1.408887
19.0,19,1.479425
35.0,35,1.554632
13.0,13,1.561355
13.0,13,1.626181
13.0,13,1.633044
53.0,53,1.775604
13.0,13,1.782934
17.0,17,1.850284
17.0,17,1.859368
15.0,15,1.925187
19.0,19,1.935293
14.0,14,2.000999
31.0,31,2.074816
17.0,17,2.087756
21.0,21,2.158505
59.0,59,2.305699
153.0,153,2.677814
93.0,93,2.843492
128.0,128,3.14309
111.0,111,3.434525
125.0,125,3.73177
108.0,108,3.963492
119.0,119,4.310624
111.0,111,4.544246
32.0,32,4.619463
30.0,30,4.693463
98.0,98,4.919948
96.0,96,5.14465
75.0,75,5.361007
130.0,130,5.665337
