#{"t_start": 1651080093.1133802, "env_id": "CartPole-v1"}
r,l,t
23.0,23,0.036167
14.0,14,0.104297
18.0,18,0.114327
18.0,18,0.180863
14.0,14,0.188474
48.0,48,0.325142
23.0,23,0.33751
23.0,23,0.404438
13.0,13,0.465766
9.0,9,0.470727
18.0,18,0.481057
42.0,42,0.612657
139.0,139,0.909062
46.0,46,0.989478
117.0,117,1.287165
90.0,90,1.50203
117.0,117,1.822313
108.0,108,2.054363
128.0,128,2.344499
121.0,121,2.633274
104.0,104,2.856835
108.0,108,3.082298
122.0,122,3.368704
129.0,129,3.661909
167.0,167,4.02689
262.0,262,4.66192
207.0,207,5.109036
220.0,220,5.624026
207.0,207,6.109189
209.0,209,6.604463
159.0,159,6.96807
138.0,138,7.560913
183.0,183,7.99893
152.0,152,8.361343
161.0,161,8.725773
181.0,181,9.102522
393.0,393,10.095876
500.0,500,11.213664
500.0,500,12.385523
500.0,500,13.545778
500.0,500,14.711456
500.0,500,16.637307
500.0,500,17.746352
500.0,500,18.947372
500.0,500,20.117992
500.0,500,21.227339
500.0,500,22.479015
500.0,500,24.399506
500.0,500,25.522229
500.0,500,26.76518
500.0,500,27.885643
500.0,500,29.06254
500.0,500,30.294194
