#{"t_start": 1651080093.116308, "env_id": "CartPole-v1"}
r,l,t
28.0,28,0.036482
21.0,21,0.10815
63.0,63,0.25457
107.0,107,0.477027
30.0,30,0.547779
167.0,167,0.913752
112.0,112,1.195704
103.0,103,1.430164
121.0,121,1.716618
96.0,96,1.977891
105.0,105,2.200868
123.0,123,2.489794
106.0,106,2.714302
127.0,127,3.005142
113.0,113,3.288575
159.0,159,3.653126
207.0,207,4.094066
323.0,323,4.820324
167.0,167,5.24285
262.0,262,5.879885
210.0,210,6.322153
236.0,236,6.891239
175.0,175,7.558175
230.0,230,8.076678
146.0,146,8.436483
180.0,180,8.865607
198.0,198,9.30555
500.0,500,10.470081
500.0,500,11.655561
500.0,500,12.818354
500.0,500,13.978806
500.0,500,15.893106
500.0,500,17.070446
500.0,500,18.213565
500.0,500,19.379789
500.0,500,20.492371
500.0,500,21.675074
500.0,500,23.662899
500.0,500,24.788257
500.0,500,26.023723
500.0,500,27.205419
500.0,500,28.320748
500.0,500,29.507839
500.0,500,30.68526
