#{"t_start": 1651171010.673528, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.032437
16.0,16,0.128247
63.0,63,0.277792
17.0,17,0.287992
43.0,43,0.366516
35.0,35,0.499187
68.0,68,0.648207
21.0,21,0.659638
124.0,124,0.986489
33.0,33,1.06156
25.0,25,1.132232
23.0,23,1.201396
93.0,93,1.425916
119.0,119,1.661042
113.0,113,1.947965
403.0,403,2.895154
195.0,195,3.33207
385.0,385,4.205245
144.0,144,4.505831
252.0,252,5.136477
500.0,500,6.304805
223.0,223,6.836136
500.0,500,8.773377
500.0,500,9.99742
500.0,500,11.11801
500.0,500,12.295547
500.0,500,13.50901
500.0,500,14.634157
500.0,500,16.610863
500.0,500,17.835192
500.0,500,18.959646
500.0,500,20.137736
500.0,500,21.310603
500.0,500,22.491005
500.0,500,24.417288
500.0,500,25.573684
500.0,500,26.758213
500.0,500,27.958253
500.0,500,29.136405
500.0,500,30.316286
500.0,500,31.43477
