#{"t_start": 1651171010.669848, "env_id": "CartPole-v1"}
r,l,t
30.0,30,0.043627
20.0,20,0.139347
23.0,23,0.209707
22.0,22,0.222667
58.0,58,0.366434
33.0,33,0.442312
36.0,36,0.517937
20.0,20,0.584509
32.0,32,0.658059
127.0,127,0.985858
33.0,33,1.06141
37.0,37,1.138569
42.0,42,1.278105
57.0,57,1.365712
123.0,123,1.659865
114.0,114,1.94776
172.0,172,2.32011
363.0,363,3.129913
176.0,176,3.559312
311.0,311,4.282086
105.0,105,4.505399
199.0,199,4.993436
318.0,318,5.728005
147.0,147,6.091218
177.0,177,6.46603
203.0,203,6.988599
500.0,500,8.970744
500.0,500,10.147492
500.0,500,11.269327
500.0,500,12.448287
500.0,500,13.661323
500.0,500,14.786347
500.0,500,16.808325
500.0,500,17.98677
500.0,500,19.112136
500.0,500,20.29425
500.0,500,21.463729
500.0,500,22.642691
500.0,500,24.569193
500.0,500,25.727494
500.0,500,26.910553
500.0,500,28.109624
500.0,500,29.287726
500.0,500,30.467258
500.0,500,31.587132
