#{"t_start": 1650971573.642154, "env_id": "CartPole-v1"}
r,l,t
15.0,15,0.029965
14.0,14,0.039007
16.0,16,0.109943
33.0,33,0.184312
11.0,11,0.19036
19.0,19,0.257227
14.0,14,0.26506
26.0,26,0.335226
16.0,16,0.399627
13.0,13,0.40694
15.0,15,0.41537
20.0,20,0.481215
16.0,16,0.545459
50.0,50,0.647277
31.0,31,0.724108
68.0,68,0.871039
52.0,52,1.008394
71.0,71,1.15649
113.0,113,1.437925
103.0,103,1.660409
227.0,227,2.180008
107.0,107,2.40612
132.0,132,2.696993
200.0,200,3.186564
165.0,165,3.554336
109.0,109,3.775675
228.0,228,4.28185
119.0,119,4.572201
117.0,117,4.910405
500.0,500,6.004592
500.0,500,7.154106
500.0,500,9.108601
500.0,500,10.190832
500.0,500,11.33205
500.0,500,12.434837
500.0,500,13.601167
500.0,500,14.75554
500.0,500,16.632642
500.0,500,17.788911
500.0,500,18.97393
500.0,500,20.100007
500.0,500,21.27453
500.0,500,22.379218
500.0,500,24.319763
500.0,500,25.490981
500.0,500,26.616282
500.0,500,27.79605
500.0,500,28.976248
500.0,500,30.109113
