#{"t_start": 1650969064.008192, "env_id": "HalfCheetah-v3"}
r,l,t
672.890639,1000,190.030531
680.343608,1000,191.050419
836.780076,1000,192.120656
729.382132,1000,193.15705
746.31342,1000,194.208347
516.150204,1000,195.294407
693.732469,1000,196.318559
657.284,1000,197.358727
394.999438,1000,198.421463
611.840969,1000,199.509627
423.336412,1000,200.538552
585.208148,1000,204.300709
623.344622,1000,205.333375
556.352709,1000,206.42445
657.398871,1000,207.477546
491.031451,1000,208.519951
734.001044,1000,209.559964
464.54234,1000,210.632054
672.913623,1000,211.682206
698.020072,1000,212.702658
753.22133,1000,213.75426
790.462178,1000,214.869738
525.4531,1000,215.897246
782.250955,1000,216.921214
840.402083,1000,217.970596
476.806572,1000,219.066454
807.72847,1000,220.105048
830.705715,1000,221.124831
851.876362,1000,222.159454
822.461883,1000,223.244047
834.334988,1000,224.27228
897.173359,1000,225.305708
923.651779,1000,226.398201
597.592905,1000,227.444077
863.391167,1000,228.490272
193.144163,1000,229.525371
840.00633,1000,233.24591
816.004127,1000,234.349228
759.517353,1000,235.387525
818.435421,1000,236.459508
854.464187,1000,237.551869
677.972103,1000,238.632579
861.333265,1000,239.663029
843.72965,1000,240.681054
724.085436,1000,241.704794
672.980182,1000,242.776244
710.53704,1000,243.809241
634.304556,1000,244.840108
737.268157,1000,245.863619
808.612886,1000,246.954878
866.45652,1000,248.002873
742.562372,1000,249.021917
930.606226,1000,250.034915
778.70558,1000,251.11205
956.331732,1000,252.122538
945.139061,1000,253.151246
804.995277,1000,254.229166
944.760874,1000,255.26796
752.909939,1000,256.291047
947.199454,1000,257.319959
930.449972,1000,258.399295
868.103723,1000,262.161452
856.333278,1000,263.223824
772.480167,1000,264.260916
542.98462,1000,265.314858
765.545452,1000,266.392296
848.440446,1000,267.460614
