#{"t_start": 1651061149.355361, "env_id": "CartPole-v1"}
r,l,t
29.0,29,0.040141
19.0,19,0.112879
27.0,27,0.18438
26.0,26,0.25574
30.0,30,0.333062
65.0,65,0.493358
39.0,39,0.571071
38.0,38,0.647577
42.0,42,0.727071
117.0,117,1.01235
108.0,108,1.239111
64.0,64,1.412687
107.0,107,1.696132
142.0,142,1.996754
101.0,101,2.220672
60.0,60,2.366485
149.0,149,2.725431
123.0,123,3.014078
141.0,141,3.316669
466.0,466,4.415107
500.0,500,5.560539
500.0,500,6.732976
500.0,500,8.774963
500.0,500,9.988094
500.0,500,11.19498
