#{"t_start": 1650974229.3676999, "env_id": "HalfCheetah-v3"}
r,l,t
-311.016896,1000,0.316362
-217.150446,1000,0.616722
-342.230593,1000,0.923833
-258.93753,1000,1.225966
-255.749128,1000,1.533697
-128.194036,1000,1.838673
-250.314766,1000,2.150665
-217.515647,1000,2.458522
-227.436621,1000,2.787398
-201.739181,1000,3.156651
-167.961706,1000,20.740328
-230.873973,1000,38.418249
-109.179374,1000,56.162723
-241.509716,1000,73.806069
-260.169229,1000,91.416474
-252.789951,1000,108.940187
-232.303012,1000,126.493552
-213.780222,1000,144.152648
-106.189343,1000,161.73663
