#{"t_start": 1651139683.220671, "env_id": "CartPole-v1"}
r,l,t
24.0,24,0.077738
17.0,17,0.187326
13.0,13,0.19444
22.0,22,0.264829
19.0,19,0.276753
22.0,22,0.348089
20.0,20,0.41932
20.0,20,0.431223
17.0,17,0.498858
25.0,25,0.573497
21.0,21,0.585694
105.0,105,0.88186
13.0,13,0.889196
41.0,41,0.977596
116.0,116,1.285715
118.0,118,1.598239
32.0,32,1.678082
71.0,71,1.835366
119.0,119,2.176191
164.0,164,2.567373
153.0,153,2.894692
308.0,308,3.704362
123.0,123,4.024897
204.0,204,4.516008
126.0,126,4.825984
160.0,160,5.314031
135.0,135,5.664369
139.0,139,6.336348
266.0,266,7.725265
500.0,500,8.942459
500.0,500,11.256965
500.0,500,12.998731
500.0,500,14.264933
500.0,500,15.439185
500.0,500,16.719238
500.0,500,17.964055
500.0,500,20.037708
500.0,500,21.662867
500.0,500,23.002165
500.0,500,24.637494
500.0,500,25.949171
500.0,500,27.121096
500.0,500,29.185797
500.0,500,30.413472
500.0,500,31.576424
500.0,500,32.798842
500.0,500,33.945567
500.0,500,35.178947
