#{"t_start": 1651139683.222466, "env_id": "CartPole-v1"}
r,l,t
33.0,33,0.180753
21.0,21,0.192725
20.0,20,0.261657
35.0,35,0.341546
22.0,22,0.41438
20.0,20,0.425799
23.0,23,0.49715
23.0,23,0.570529
17.0,17,0.580472
17.0,17,0.648435
15.0,15,0.657316
45.0,45,0.802232
51.0,51,0.889711
151.0,151,1.282774
250.0,250,1.907382
119.0,119,2.189719
86.0,86,2.420789
201.0,201,2.891234
165.0,165,3.361817
250.0,250,3.948994
136.0,136,4.345654
179.0,179,4.745015
142.0,142,5.215775
161.0,161,5.648099
146.0,146,6.26393
180.0,180,7.296254
500.0,500,8.652555
500.0,500,11.009476
500.0,500,12.758503
500.0,500,13.936927
500.0,500,15.207283
500.0,500,16.47226
500.0,500,17.669914
500.0,500,19.791116
500.0,500,21.281368
500.0,500,22.759964
500.0,500,24.389387
500.0,500,25.643592
500.0,500,26.889737
500.0,500,28.947074
500.0,500,30.108357
500.0,500,31.331064
500.0,500,32.505855
500.0,500,33.710332
500.0,500,34.944804
500.0,500,36.930891
