#{"t_start": 1651139683.224961, "env_id": "CartPole-v1"}
r,l,t
51.0,51,0.188578
94.0,94,0.419871
13.0,13,0.427542
16.0,16,0.494731
15.0,15,0.503651
25.0,25,0.578063
20.0,20,0.647694
17.0,17,0.657692
145.0,145,1.049053
35.0,35,1.127556
74.0,74,1.287368
20.0,20,1.365695
182.0,182,1.826183
133.0,133,2.175057
146.0,146,2.498149
225.0,225,3.05369
337.0,337,3.934423
279.0,279,4.654719
97.0,97,4.892317
146.0,146,5.30786
121.0,121,5.650588
158.0,158,6.333285
251.0,251,7.713095
500.0,500,8.870718
235.0,235,10.600527
500.0,500,12.12388
500.0,500,13.534111
500.0,500,14.802871
500.0,500,15.975785
500.0,500,17.279104
500.0,500,19.34432
500.0,500,20.83672
500.0,500,22.312552
500.0,500,23.646731
500.0,500,25.255566
500.0,500,26.520752
500.0,500,27.671961
500.0,500,29.689083
500.0,500,30.879733
500.0,500,32.115641
500.0,500,33.321878
500.0,500,34.495872
500.0,500,35.720533
