#{"t_start": 1651139683.221558, "env_id": "CartPole-v1"}
r,l,t
10.0,10,0.06949
30.0,30,0.18566
26.0,26,0.257967
16.0,16,0.267313
41.0,41,0.350451
19.0,19,0.421207
22.0,22,0.492417
23.0,23,0.505399
17.0,17,0.575521
17.0,17,0.585526
49.0,49,0.732786
86.0,86,0.961939
51.0,51,1.059306
83.0,83,1.282
122.0,122,1.596648
47.0,47,1.685314
107.0,107,1.92129
147.0,147,2.341036
127.0,127,2.648475
103.0,103,2.888768
207.0,207,3.448059
192.0,192,3.933055
117.0,117,4.199727
157.0,157,4.59175
89.0,89,4.820481
157.0,157,5.305946
137.0,137,5.65859
134.0,134,6.267569
467.0,467,8.196594
500.0,500,10.525902
500.0,500,11.979981
500.0,500,13.460391
500.0,500,14.663441
500.0,500,15.89855
500.0,500,17.206228
500.0,500,19.266021
500.0,500,20.664729
500.0,500,22.232583
500.0,500,23.498978
500.0,500,25.177194
500.0,500,26.387087
500.0,500,27.59471
500.0,500,29.619057
500.0,500,30.805052
500.0,500,32.042072
500.0,500,33.248437
500.0,500,34.421922
500.0,500,35.645148
