#{"t_start": 1651074493.5960598, "env_id": "Pendulum-v1"}
r,l,t
-1381.118465,200,0.072905
-1452.513162,200,0.119711
-893.695169,200,0.162168
-1730.863553,200,0.204642
-964.615304,200,0.248226
-882.566597,200,0.294538
-1230.597104,200,0.335613
-966.484262,200,0.378614
-975.050639,200,0.421386
-1250.148094,200,0.467348
-1440.779571,200,0.508917
-1782.675467,200,0.551568
-1527.150571,200,0.594379
-990.323417,200,0.639165
-1353.028667,200,0.684739
-1274.459589,200,0.728215
-883.546906,200,0.770728
-1038.781943,200,0.816084
-1350.348494,200,0.861652
-1210.922996,200,0.903403
-1162.427459,200,0.945397
-744.865398,200,0.990626
-1753.3284,200,1.033906
-1563.472532,200,1.077362
-1198.945978,200,1.123121
-883.782775,200,1.169487
