#{"t_start": 1651135512.25162, "env_id": "CartPole-v1"}
r,l,t
12.0,12,0.085482
11.0,11,0.09117
35.0,35,0.214481
18.0,18,0.28291
28.0,28,0.354554
21.0,21,0.366563
35.0,35,0.442342
59.0,59,0.58934
19.0,19,0.657932
94.0,94,0.877041
151.0,151,1.253753
107.0,107,1.47876
129.0,129,1.768885
103.0,103,1.99722
161.0,161,2.362252
302.0,302,3.123583
164.0,164,3.49191
155.0,155,3.852312
500.0,500,4.965446
197.0,197,5.409266
500.0,500,6.580252
500.0,500,8.626039
500.0,500,9.743881
500.0,500,10.939635
500.0,500,12.158377
500.0,500,13.301009
500.0,500,14.490166
500.0,500,16.478212
500.0,500,17.689479
500.0,500,18.87445
500.0,500,20.050921
500.0,500,21.234361
500.0,500,22.439514
500.0,500,23.595524
500.0,500,25.549852
500.0,500,26.686263
500.0,500,27.909606
500.0,500,29.106929
500.0,500,30.254465
500.0,500,31.474803
