#{"t_start": 1649920562.583204, "env_id": "CartPole-v1"}
r,l,t
17.0,17,2.421202
42.0,42,2.534247
26.0,26,2.603604
29.0,29,2.673811
79.0,79,2.879583
87.0,87,3.034829
110.0,110,3.310359
83.0,83,3.462515
133.0,133,3.750277
351.0,351,4.549843
132.0,132,4.905587
128.0,128,5.218372
187.0,187,5.68039
253.0,253,6.390281
324.0,324,7.204273
229.0,229,7.774263
500.0,500,8.852582
500.0,500,10.82251
500.0,500,11.964205
247.0,247,12.640722
500.0,500,13.832322
500.0,500,14.921715
500.0,500,16.069501
500.0,500,17.215812
500.0,500,19.130874
500.0,500,20.372116
500.0,500,21.611327
500.0,500,22.729636
500.0,500,24.000697
500.0,500,25.136881
500.0,500,27.257212
500.0,500,28.500172
500.0,500,29.639965
500.0,500,30.840437
500.0,500,32.059317
500.0,500,33.204377
500.0,500,34.402497
