#{"t_start": 1649920562.6223512, "env_id": "CartPole-v1"}
r,l,t
27.0,27,2.387399
25.0,25,2.491518
37.0,37,2.566654
17.0,17,2.63032
39.0,39,2.704562
52.0,52,2.842653
33.0,33,2.914498
137.0,137,3.204514
135.0,135,3.493376
186.0,186,3.918584
215.0,215,4.429357
132.0,132,4.725218
99.0,99,4.954322
121.0,121,5.279927
105.0,105,5.552309
488.0,488,6.846737
233.0,233,7.444619
226.0,226,7.949885
261.0,261,8.522299
158.0,158,8.876078
500.0,500,10.792981
500.0,500,12.001072
274.0,274,12.681948
500.0,500,13.870733
500.0,500,15.019662
500.0,500,16.108037
500.0,500,17.255145
500.0,500,19.258947
500.0,500,20.416373
500.0,500,21.65488
500.0,500,22.784593
500.0,500,24.047721
500.0,500,25.243532
500.0,500,27.30741
500.0,500,28.545842
500.0,500,29.736727
500.0,500,30.886181
500.0,500,32.107036
500.0,500,33.248862
500.0,500,34.445215
