#{"t_start": 1652090412.4769988, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.052197
42.0,42,0.147424
17.0,17,0.216223
19.0,19,0.227096
23.0,23,0.323476
15.0,15,0.391673
34.0,34,0.47304
67.0,67,0.628418
62.0,62,0.779642
162.0,162,1.158173
124.0,124,1.460733
79.0,79,1.620716
130.0,130,1.930313
109.0,109,2.220564
31.0,31,2.293786
170.0,170,2.686819
109.0,109,2.916327
252.0,252,3.524301
118.0,118,3.822724
67.0,67,3.974467
119.0,119,4.271225
108.0,108,4.509719
92.0,92,4.743465
44.0,44,4.827473
166.0,166,5.241386
139.0,139,5.601259
159.0,159,5.971424
151.0,151,6.279027
177.0,177,6.72267
194.0,194,7.204103
500.0,500,8.843124
500.0,500,9.961636
500.0,500,11.135072
500.0,500,12.299142
500.0,500,13.404269
500.0,500,14.566068
500.0,500,16.406457
500.0,500,17.569701
500.0,500,18.733625
500.0,500,19.836478
500.0,500,20.994384
500.0,500,22.167027
500.0,500,23.999384
500.0,500,25.161082
500.0,500,26.266284
500.0,500,27.429759
500.0,500,28.589138
500.0,500,29.692048
500.0,500,30.858915
