#{"t_start": 1650885980.4994829, "env_id": "CartPole-v1"}
r,l,t
21.0,21,1.292985
47.0,47,1.438867
35.0,35,1.513735
22.0,22,1.526047
71.0,71,1.733826
18.0,18,1.743818
47.0,47,1.883147
92.0,92,2.106239
33.0,33,2.183829
34.0,34,2.258214
281.0,281,2.867153
152.0,152,3.260135
107.0,107,3.490701
51.0,51,3.640583
110.0,110,3.926674
182.0,182,4.306321
186.0,186,4.760324
500.0,500,5.967825
322.0,322,6.715596
124.0,124,7.013103
199.0,199,7.521536
199.0,199,7.973587
344.0,344,9.343881
500.0,500,10.507453
500.0,500,11.901902
500.0,500,13.157525
500.0,500,14.35195
500.0,500,15.581769
500.0,500,16.81027
500.0,500,18.835591
500.0,500,20.102742
500.0,500,21.365065
500.0,500,22.59645
500.0,500,23.821276
500.0,500,24.998001
500.0,500,27.083112
500.0,500,28.312757
500.0,500,29.511964
500.0,500,30.728511
500.0,500,31.934475
500.0,500,33.211549
