#{"t_start": 1650885980.418006, "env_id": "CartPole-v1"}
r,l,t
28.0,28,1.378136
20.0,20,1.451467
78.0,78,1.60804
29.0,29,1.680843
17.0,17,1.7458
22.0,22,1.813997
57.0,57,1.90321
133.0,133,2.205676
144.0,144,2.570281
170.0,170,2.946852
149.0,149,3.338078
117.0,117,3.630469
46.0,46,3.721051
94.0,94,3.942555
192.0,192,4.38377
172.0,172,4.77009
500.0,500,5.980964
327.0,327,6.730981
123.0,123,7.027947
229.0,229,7.610113
272.0,272,8.275675
500.0,500,9.95477
500.0,500,11.280783
500.0,500,12.601066
500.0,500,13.790497
500.0,500,15.044044
500.0,500,16.208051
500.0,500,18.285128
500.0,500,19.556987
500.0,500,20.755427
500.0,500,22.063174
500.0,500,23.281933
500.0,500,24.459493
500.0,500,26.542962
500.0,500,27.715595
500.0,500,28.940472
500.0,500,30.19313
500.0,500,31.358008
500.0,500,32.63483
500.0,500,33.913427
