#{"t_start": 1650885583.771581, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.901488
52.0,52,1.047161
13.0,13,1.054634
15.0,15,1.119144
14.0,14,1.127423
18.0,18,1.194613
23.0,23,1.207737
27.0,27,1.281197
28.0,28,1.355899
40.0,40,1.437462
44.0,44,1.574776
16.0,16,1.583724
18.0,18,1.651662
26.0,26,1.723892
28.0,28,1.739751
31.0,31,1.815096
34.0,34,1.896294
135.0,135,2.277802
127.0,127,2.575932
255.0,255,3.174542
259.0,259,3.770561
500.0,500,4.913631
272.0,272,5.578683
322.0,322,6.359918
197.0,197,6.825795
