#{"t_start": 1651167721.402828, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.056731
24.0,24,0.176379
17.0,17,0.200005
37.0,37,0.367648
35.0,35,0.472532
42.0,42,0.591225
30.0,30,0.698645
37.0,37,0.814168
58.0,58,1.015252
29.0,29,1.118165
18.0,18,1.143509
43.0,43,1.317084
160.0,160,1.838703
109.0,109,2.164294
116.0,116,2.550497
130.0,130,2.96794
113.0,113,3.343918
107.0,107,3.722943
85.0,85,3.952789
130.0,130,4.364532
144.0,144,4.863208
107.0,107,5.191262
104.0,104,5.51178
364.0,364,6.711012
316.0,316,7.803743
302.0,302,8.753658
228.0,228,9.483362
500.0,500,11.945789
500.0,500,13.577074
500.0,500,15.182877
500.0,500,16.799576
500.0,500,18.375518
500.0,500,20.050716
500.0,500,22.52186
500.0,500,24.220113
500.0,500,25.941781
500.0,500,27.86127
500.0,500,29.729096
500.0,500,31.451678
500.0,500,34.042122
500.0,500,35.795147
500.0,500,37.531475
500.0,500,39.229395
500.0,500,41.040866
500.0,500,43.638972
500.0,500,45.33492
