#{"t_start": 1649763611.477855, "env_id": "CartPole-v1"}
r,l,t
14.0,14,2.238224
22.0,22,2.311192
12.0,12,2.317371
25.0,25,2.385153
18.0,18,2.394344
23.0,23,2.462062
17.0,17,2.526276
21.0,21,2.537516
24.0,24,2.603646
19.0,19,2.668467
19.0,19,2.67875
28.0,28,2.748133
30.0,30,2.818214
57.0,57,2.957313
42.0,42,3.034289
102.0,102,3.249691
33.0,33,3.320454
85.0,85,3.528767
114.0,114,3.804988
152.0,152,4.101056
121.0,121,4.384502
288.0,288,5.028992
205.0,205,5.466105
400.0,400,6.378142
500.0,500,7.506066
500.0,500,8.584072
500.0,500,10.500802
500.0,500,11.580036
500.0,500,12.715233
500.0,500,13.8499
500.0,500,14.92531
500.0,500,16.059132
500.0,500,17.921394
500.0,500,18.996308
500.0,500,20.132428
500.0,500,21.210888
500.0,500,22.346328
500.0,500,23.484697
500.0,500,24.579164
500.0,500,26.444148
500.0,500,27.586195
500.0,500,28.6828
500.0,500,29.826554
500.0,500,30.917147
500.0,500,32.067575
