#{"t_start": 1649763611.453343, "env_id": "CartPole-v1"}
r,l,t
32.0,32,2.271702
29.0,29,2.34827
38.0,38,2.478793
41.0,41,2.555569
28.0,28,2.623987
11.0,11,2.62968
21.0,21,2.695809
18.0,18,2.705334
16.0,16,2.768265
24.0,24,2.835461
17.0,17,2.84436
24.0,24,2.911878
17.0,17,2.920553
32.0,32,2.991728
44.0,44,3.123938
22.0,22,3.134903
60.0,60,3.274741
95.0,95,3.486775
103.0,103,3.703152
126.0,126,3.985326
95.0,95,4.198442
178.0,178,4.621025
410.0,410,5.550163
500.0,500,6.623089
420.0,420,7.601794
500.0,500,8.679405
500.0,500,10.595759
500.0,500,11.673442
500.0,500,12.810248
500.0,500,13.94441
500.0,500,15.020328
500.0,500,16.153449
500.0,500,18.016658
500.0,500,19.090351
500.0,500,20.22584
500.0,500,21.305842
500.0,500,22.440698
500.0,500,23.579371
500.0,500,25.400855
500.0,500,26.539526
500.0,500,27.682736
500.0,500,28.778258
500.0,500,29.922159
500.0,500,31.014113
500.0,500,32.163313
