#{"t_start": 1650797318.332354, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.34329
11.0,11,2.348905
35.0,35,2.449067
46.0,46,2.587162
35.0,35,2.663031
21.0,21,2.673766
19.0,19,2.73989
15.0,15,2.748807
29.0,29,2.817375
35.0,35,2.89018
89.0,89,3.101608
57.0,57,3.241561
90.0,90,3.453871
88.0,88,3.66176
86.0,86,3.875503
49.0,49,4.013929
73.0,73,4.166506
44.0,44,4.246674
82.0,82,4.452471
137.0,137,4.744091
116.0,116,5.026786
138.0,138,5.318739
252.0,252,5.889447
149.0,149,6.243451
169.0,169,6.610856
396.0,396,7.476978
295.0,295,8.233944
500.0,500,9.327365
500.0,500,11.258015
500.0,500,12.453239
500.0,500,13.565305
500.0,500,14.721724
500.0,500,15.854805
500.0,500,17.021064
500.0,500,18.937721
500.0,500,20.072228
500.0,500,21.234616
500.0,500,22.386384
500.0,500,23.488711
500.0,500,24.671751
500.0,500,26.530184
500.0,500,27.707452
500.0,500,28.887826
500.0,500,29.987723
500.0,500,31.137295
500.0,500,32.336722
