#{"t_start": 1650797318.345431, "env_id": "CartPole-v1"}
r,l,t
10.0,10,2.330814
13.0,13,2.337387
34.0,34,2.437077
18.0,18,2.506104
56.0,56,2.647235
22.0,22,2.65873
15.0,15,2.722291
14.0,14,2.730554
12.0,12,2.790663
16.0,16,2.799192
52.0,52,2.937373
38.0,38,3.011382
64.0,64,3.153727
47.0,47,3.233578
111.0,111,3.510888
139.0,139,3.860263
63.0,63,4.006115
96.0,96,4.22791
68.0,68,4.372528
83.0,83,4.579791
135.0,135,4.87063
104.0,104,5.090311
118.0,118,5.373575
168.0,168,5.736007
135.0,135,6.025712
123.0,123,6.311133
150.0,150,6.6693
291.0,291,7.316533
350.0,350,8.155354
500.0,500,9.303594
500.0,500,11.17851
500.0,500,12.372916
500.0,500,13.541516
500.0,500,14.640724
500.0,500,15.831375
500.0,500,16.939817
500.0,500,18.854121
500.0,500,20.048509
500.0,500,21.155228
500.0,500,22.306989
500.0,500,23.465031
500.0,500,24.593578
500.0,500,26.506664
500.0,500,27.613133
500.0,500,28.807649
500.0,500,29.964311
500.0,500,31.057265
500.0,500,32.256573
