#{"t_start": 1650797318.3715332, "env_id": "CartPole-v1"}
r,l,t
21.0,21,2.310298
14.0,14,2.399524
25.0,25,2.412636
33.0,33,2.489913
21.0,21,2.554888
32.0,32,2.628976
16.0,16,2.692988
11.0,11,2.699099
25.0,25,2.766756
23.0,23,2.778799
37.0,37,2.909112
37.0,37,2.982611
41.0,41,3.058339
41.0,41,3.134392
41.0,41,3.266719
37.0,37,3.340641
122.0,122,3.621382
96.0,96,3.898079
65.0,65,4.043259
38.0,38,4.121497
82.0,82,4.276581
122.0,122,4.558574
119.0,119,4.840981
99.0,99,5.05797
109.0,109,5.281176
225.0,225,5.783207
127.0,127,6.070082
129.0,129,6.3583
205.0,205,6.854221
263.0,263,7.430733
339.0,339,8.265104
500.0,500,9.358593
500.0,500,11.289667
500.0,500,12.430072
500.0,500,13.598736
500.0,500,14.75414
500.0,500,15.887974
500.0,500,17.053417
500.0,500,18.970868
500.0,500,20.104314
500.0,500,21.267222
500.0,500,22.362547
500.0,500,23.520584
500.0,500,24.705936
500.0,500,26.563051
500.0,500,27.758024
500.0,500,28.921581
500.0,500,30.019535
500.0,500,31.16834
500.0,500,32.313102
