#{"t_start": 1650969977.718143, "env_id": "HalfCheetah-v3"}
r,l,t
-212.397943,1000,0.284681
-278.941301,1000,0.583484
-331.809365,1000,0.841058
-245.971622,1000,1.09719
-255.305984,1000,1.366721
-212.912797,1000,1.62958
-249.199008,1000,1.883839
-414.293895,1000,2.138061
-284.506467,1000,2.401016
-367.746275,1000,2.65757
-25.213365,1000,3.111012
-535.941404,1000,13.445442
-539.517788,1000,23.96213
-471.274006,1000,34.565191
-544.977101,1000,45.222865
-488.15196,1000,55.853959
-466.886056,1000,66.574664
-318.826434,1000,77.290566
-293.594197,1000,87.996292
172.492489,1000,98.715969
-197.158489,1000,109.422289
