#{"t_start": 1650885774.30246, "env_id": "CartPole-v1"}
r,l,t
20.0,20,1.293418
14.0,14,1.372548
19.0,19,1.383689
15.0,15,1.48468
61.0,61,1.645156
76.0,76,1.801628
200.0,200,2.268035
181.0,181,2.713543
259.0,259,3.320108
152.0,152,3.703304
220.0,220,4.221243
500.0,500,5.396769
500.0,500,6.592626
500.0,500,7.728268
500.0,500,9.800365
410.0,410,10.764267
500.0,500,11.986833
500.0,500,13.324372
500.0,500,14.568439
500.0,500,15.714056
500.0,500,16.925473
500.0,500,18.974223
500.0,500,20.394657
500.0,500,21.739668
500.0,500,22.916843
500.0,500,24.14141
500.0,500,25.453984
500.0,500,27.678168
500.0,500,28.964033
500.0,500,30.430746
