#{"t_start": 1650885774.235361, "env_id": "CartPole-v1"}
r,l,t
18.0,18,1.359421
32.0,32,1.449052
18.0,18,1.550714
23.0,23,1.570219
21.0,21,1.640452
63.0,63,1.794258
22.0,22,1.864049
95.0,95,2.091704
111.0,111,2.333886
139.0,139,2.640513
137.0,137,3.008146
130.0,130,3.307905
252.0,252,3.919951
180.0,180,4.301394
500.0,500,5.533869
293.0,293,6.212384
500.0,500,7.40922
370.0,370,8.239441
379.0,379,10.015181
378.0,378,10.908351
500.0,500,12.245294
500.0,500,13.501925
500.0,500,14.712828
500.0,500,15.857922
500.0,500,17.069354
500.0,500,19.118462
500.0,500,20.556083
500.0,500,21.8873
500.0,500,23.122347
500.0,500,24.287711
500.0,500,25.604109
500.0,500,27.822097
500.0,500,29.105803
500.0,500,30.574595
