#{"t_start": 1650885535.8188548, "env_id": "CartPole-v1"}
r,l,t
18.0,18,2.035663
9.0,9,2.040348
12.0,12,2.112694
33.0,33,2.18908
60.0,60,2.334528
23.0,23,2.34696
27.0,27,2.418315
38.0,38,2.496816
47.0,47,2.635512
61.0,61,2.786163
164.0,164,3.160513
137.0,137,3.458032
168.0,168,3.832963
134.0,134,4.211087
100.0,100,4.433555
151.0,151,4.737692
161.0,161,5.108682
273.0,273,5.781035
173.0,173,6.161341
138.0,138,6.521376
124.0,124,6.839443
165.0,165,7.217033
178.0,178,7.602109
