#{"t_start": 1650885535.8331861, "env_id": "CartPole-v1"}
r,l,t
12.0,12,2.018132
16.0,16,2.026622
46.0,46,2.175966
19.0,19,2.186047
54.0,54,2.328274
52.0,52,2.471427
26.0,26,2.541223
107.0,107,2.774508
24.0,24,2.848469
141.0,141,3.149064
119.0,119,3.437092
150.0,150,3.740226
127.0,127,4.058662
106.0,106,4.345742
98.0,98,4.565372
128.0,128,4.860897
159.0,159,5.233713
228.0,228,5.764398
135.0,135,6.066662
120.0,120,6.361429
149.0,149,6.669358
160.0,160,7.065481
169.0,169,7.50458
500.0,500,8.65729
