#{"t_start": 1651074580.1818671, "env_id": "CartPole-v1"}
r,l,t
32.0,32,0.053171
18.0,18,0.134893
23.0,23,0.209828
50.0,50,0.298333
26.0,26,0.379036
17.0,17,0.4513
18.0,18,0.461642
29.0,29,0.542857
26.0,26,0.614446
16.0,16,0.623281
27.0,27,0.696698
79.0,79,0.929016
56.0,56,1.074323
91.0,91,1.239548
75.0,75,1.458371
247.0,247,2.251418
183.0,183,2.740016
165.0,165,3.130177
28.0,28,3.20217
131.0,131,3.510344
105.0,105,3.806153
96.0,96,4.036773
214.0,214,4.524606
230.0,230,5.061197
120.0,120,5.354988
146.0,146,5.752157
222.0,222,6.283091
381.0,381,7.296698
500.0,500,9.263927
500.0,500,10.467094
500.0,500,11.831787
500.0,500,13.080515
