#{"t_start": 1651074580.185292, "env_id": "CartPole-v1"}
r,l,t
27.0,27,0.045157
40.0,40,0.202589
25.0,25,0.217568
43.0,43,0.367016
24.0,24,0.38181
19.0,19,0.454863
14.0,14,0.462898
14.0,14,0.535434
13.0,13,0.542812
15.0,15,0.608244
21.0,21,0.619969
58.0,58,0.769062
141.0,141,1.147345
120.0,120,1.390201
184.0,184,2.069351
186.0,186,2.555701
91.0,91,2.810181
118.0,118,3.112948
71.0,71,3.266243
118.0,118,3.509709
109.0,109,3.808
35.0,35,3.885469
98.0,98,4.115753
160.0,160,4.516466
135.0,135,4.825505
107.0,107,5.117639
76.0,76,5.273062
138.0,138,5.599173
165.0,165,5.989481
457.0,457,7.217354
209.0,209,7.710247
500.0,500,9.707321
500.0,500,10.87821
500.0,500,12.278488
500.0,500,13.544478
