#{"t_start": 1650883922.4353201, "env_id": "CartPole-v1"}
r,l,t
20.0,20,2.213673
10.0,10,2.219381
16.0,16,2.340541
12.0,12,2.347229
34.0,34,2.422785
43.0,43,2.559092
13.0,13,2.56581
51.0,51,2.706835
67.0,67,2.853054
49.0,49,2.933336
110.0,110,3.215152
40.0,40,3.291635
115.0,115,3.57108
131.0,131,3.860271
189.0,189,4.295101
133.0,133,4.589151
122.0,122,4.879223
100.0,100,5.100756
107.0,107,5.326077
108.0,108,5.5522
112.0,112,5.83263
123.0,123,6.12093
154.0,154,6.532435
138.0,138,6.827652
204.0,204,7.274589
233.0,233,7.843936
199.0,199,8.291761
177.0,177,8.667137
500.0,500,10.567064
357.0,357,11.368361
438.0,438,12.376408
500.0,500,13.474936
500.0,500,14.665687
500.0,500,15.822585
500.0,500,16.925181
500.0,500,18.861544
500.0,500,20.019121
500.0,500,21.124216
500.0,500,22.328932
500.0,500,23.427443
500.0,500,24.585131
500.0,500,26.554058
500.0,500,27.653588
500.0,500,28.82016
500.0,500,29.984759
500.0,500,31.140384
500.0,500,32.30709
