#{"t_start": 1651079551.082148, "env_id": "Pendulum-v1"}
r,l,t
-1076.81818,200,0.0673
-1266.50854,200,0.114336
-1016.269043,200,0.155707
-1075.019172,200,0.197451
-1318.474742,200,0.239848
-1412.089003,200,0.286122
-849.65151,200,0.329968
-1518.648245,200,0.372163
-1651.030887,200,0.415182
-865.622527,200,0.459832
-1159.920116,200,0.501841
-836.913398,200,0.544203
-1525.422319,200,0.587536
-1573.702638,200,0.633875
-1015.482334,200,0.675631
-879.787438,200,0.719089
-874.905597,200,0.760962
-1017.215309,200,0.807333
-1029.934188,200,0.852231
-1207.408349,200,0.895292
-1272.495025,200,0.939774
-1342.308367,200,0.984715
-1162.141233,200,1.027218
-1393.099799,200,1.06876
-949.451139,200,1.111792
-1032.439111,200,1.156869
-1223.753667,200,1.205423
-1093.33833,200,1.251619
-841.88848,200,1.295124
-1278.145764,200,1.340998
-1648.997543,200,1.383835
-901.891384,200,1.424623
-895.006468,200,1.466626
-1753.278052,200,1.511071
-1702.032403,200,1.55247
-1457.740183,200,1.593909
-1487.013718,200,1.636343
-1546.132748,200,1.692889
-968.405446,200,1.734832
-1282.506588,200,1.780595
-973.436616,200,1.829785
-988.859655,200,1.876268
-1021.287089,200,1.918271
-1506.279997,200,1.961537
-866.325395,200,2.004268
-1268.305057,200,2.05092
-1287.629949,200,2.094472
-1592.398129,200,2.137054
-982.588408,200,2.178723
-785.828045,200,2.223291
-1884.147863,200,2.30063
-1811.647675,200,4.176555
-1539.293102,200,5.987624
-1520.447698,200,7.83047
-1424.225016,200,9.846114
-1335.339151,200,11.897424
-1149.663513,200,13.893741
-1074.133275,200,15.887334
-930.185543,200,17.904989
-918.144427,200,19.93948
-532.197284,200,21.973111
-405.456288,200,24.01921
-130.257091,200,26.014109
-128.934359,200,28.080941
-122.44644,200,30.102715
-128.681108,200,32.180343
-255.775024,200,34.147289
-123.610917,200,36.168577
-349.987668,200,38.226055
-0.450069,200,40.265509
-245.156318,200,42.286334
-127.682652,200,44.345665
-127.356792,200,46.332823
-0.804322,200,48.401002
-124.900656,200,50.512144
-3.430552,200,52.62211
-121.045759,200,54.664138
-124.337054,200,56.713706
-115.53403,200,58.746547
-1.840279,200,60.829846
-1.564084,200,62.837795
-0.760944,200,64.904584
-115.300077,200,66.87407
-114.900062,200,68.96308
-130.317045,200,70.958616
-240.999565,200,73.027788
-224.447023,200,75.043843
-116.954746,200,77.168708
-1.174074,200,79.154145
-248.901646,200,81.273695
-125.970741,200,83.301627
-120.776882,200,85.3476
-1.517288,200,87.395503
-238.530418,200,89.422155
-234.464473,200,91.480089
-117.709011,200,93.543784
-116.315825,200,95.581328
-241.217168,200,97.703513
-328.330416,200,99.67388
-129.968965,200,101.77279
