#{"t_start": 1650963438.4660192, "env_id": "CartPole-v1"}
r,l,t
16.0,16,0.986993
71.0,71,1.1498
52.0,52,1.296226
27.0,27,1.369938
12.0,12,1.378572
30.0,30,1.454713
10.0,10,1.460536
38.0,38,1.539746
18.0,18,1.609056
64.0,64,1.763111
164.0,164,2.141097
130.0,130,2.444563
114.0,114,2.746073
114.0,114,2.981314
154.0,154,3.354885
155.0,155,3.757946
145.0,145,4.127301
30.0,30,4.143924
165.0,165,4.582963
192.0,192,5.03947
109.0,109,5.272823
134.0,134,5.579272
183.0,183,6.053575
95.0,95,6.275991
71.0,71,6.429396
149.0,149,6.809583
126.0,126,7.108486
140.0,140,7.414481
209.0,209,7.954869
266.0,266,9.156623
336.0,336,9.953568
500.0,500,11.146849
500.0,500,12.368282
500.0,500,13.506564
500.0,500,14.704865
500.0,500,15.947954
500.0,500,17.888974
500.0,500,19.089014
500.0,500,20.252656
500.0,500,21.457722
500.0,500,22.704338
500.0,500,23.906487
500.0,500,25.89655
500.0,500,27.099049
500.0,500,28.308869
500.0,500,29.520245
500.0,500,30.686264
500.0,500,31.925347
