#{"t_start": 1650970191.037569, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.035888
-200.0,200,0.059768
-200.0,200,0.081637
-200.0,200,0.104798
-200.0,200,0.125949
-200.0,200,0.415144
-200.0,200,0.694496
-200.0,200,0.953742
-200.0,200,1.246485
-200.0,200,1.517493
-200.0,200,1.809462
-200.0,200,2.07939
-200.0,200,2.396595
-200.0,200,2.684712
-200.0,200,2.996345
-200.0,200,3.329589
-200.0,200,3.64124
-200.0,200,3.921534
-200.0,200,4.235893
-200.0,200,4.520379
-200.0,200,4.832945
-200.0,200,5.122605
-200.0,200,5.437504
-200.0,200,5.728563
-200.0,200,6.044536
-200.0,200,6.349928
-200.0,200,6.667134
-200.0,200,6.961733
-200.0,200,7.330132
-200.0,200,7.628145
-200.0,200,7.941632
-200.0,200,8.244705
-200.0,200,8.566775
-200.0,200,8.858353
-200.0,200,9.173973
-200.0,200,9.468348
-200.0,200,9.790114
-200.0,200,10.088187
-200.0,200,10.408835
-200.0,200,10.701152
-200.0,200,11.028374
-200.0,200,11.374104
-200.0,200,11.709374
-200.0,200,12.0098
-200.0,200,12.341653
-200.0,200,12.642247
-200.0,200,12.964948
-200.0,200,13.269663
-200.0,200,13.600874
-200.0,200,13.899321
-200.0,200,14.225085
-200.0,200,14.526478
-200.0,200,14.855541
-200.0,200,15.219013
-200.0,200,15.547402
-200.0,200,15.862678
-200.0,200,16.208211
-200.0,200,16.521005
-200.0,200,16.847952
-200.0,200,17.156241
-200.0,200,17.490531
-200.0,200,17.79414
-200.0,200,18.122144
-200.0,200,18.447981
-200.0,200,18.785505
-200.0,200,19.09731
-200.0,200,19.4594
-200.0,200,19.773012
-200.0,200,20.110502
-200.0,200,20.424991
-200.0,200,20.759842
-200.0,200,21.073982
-200.0,200,21.417832
-200.0,200,21.729143
-200.0,200,22.063419
-200.0,200,22.392824
-200.0,200,22.739747
-200.0,200,23.051142
-200.0,200,23.442005
-200.0,200,23.761355
-200.0,200,24.10684
-200.0,200,24.42633
-200.0,200,24.761952
-200.0,200,25.095046
-200.0,200,25.451286
-200.0,200,25.772519
-200.0,200,26.117046
-200.0,200,26.459915
-200.0,200,26.815681
-200.0,200,27.142216
-200.0,200,27.52561
-200.0,200,27.866583
-200.0,200,28.21983
-200.0,200,28.544693
-200.0,200,28.893136
-200.0,200,29.233383
-200.0,200,29.591981
-200.0,200,29.920561
-200.0,200,30.287234
-200.0,200,30.616027
-200.0,200,30.97315
-200.0,200,31.328813
-200.0,200,31.689163
-200.0,200,32.034046
-200.0,200,32.400536
-200.0,200,32.735633
-200.0,200,33.092042
-200.0,200,33.427127
-200.0,200,33.787996
-200.0,200,34.135022
-200.0,200,34.498758
-200.0,200,34.834938
-200.0,200,35.204024
-200.0,200,35.572064
-200.0,200,35.939474
-200.0,200,36.283467
-200.0,200,36.652119
-200.0,200,36.992146
-200.0,200,37.360831
-200.0,200,37.710102
-200.0,200,38.079171
-200.0,200,38.422188
-200.0,200,38.779906
-200.0,200,39.139117
-200.0,200,39.520292
-152.0,152,40.066793
-200.0,200,40.434675
-200.0,200,40.790336
-200.0,200,41.168671
-191.0,191,41.508834
-200.0,200,41.847567
-200.0,200,42.231683
-200.0,200,42.586621
-200.0,200,42.956129
-200.0,200,43.313667
-200.0,200,43.678976
-200.0,200,44.024617
-200.0,200,44.396377
-200.0,200,44.741328
-200.0,200,45.105633
-200.0,200,45.452799
