#{"t_start": 1650796431.345494, "env_id": "Pendulum-v1"}
r,l,t
-1495.780048,200,1.670739
-1229.137722,200,4.987312
-1514.979777,200,8.273711
-1615.589412,200,11.567857
-1452.753664,200,14.979475
-1506.678957,200,18.322358
-1558.496449,200,21.705442
-1128.597726,200,25.088903
-1162.94311,200,28.462787
-1018.017777,200,31.886169
-897.27573,200,35.265535
-775.646864,200,38.643362
-390.956189,200,42.020385
-133.706518,200,45.348999
-267.237819,200,48.70879
-367.855248,200,52.105388
-0.941576,200,55.466477
-128.185464,200,58.828447
-240.917022,200,62.19144
-1.070624,200,65.506913
-128.352704,200,68.879259
-123.899409,200,72.257505
-241.510871,200,75.70554
-242.327638,200,79.161929
-342.158282,200,82.578651
-241.58637,200,85.978425
-1242.718828,200,89.367459
-2.838165,200,92.743284
-119.446706,200,96.076873
-250.18688,200,99.452416
-2.350461,200,102.824941
-1.811382,200,106.203218
-311.054637,200,109.588757
-127.254375,200,112.956622
-130.937609,200,116.287982
-123.732073,200,119.670221
-1.45584,200,123.02897
-126.523391,200,126.382284
-124.724353,200,129.768757
-240.418065,200,133.138099
-232.212564,200,136.461918
-233.156628,200,139.828012
-124.529689,200,143.226722
-126.241308,200,146.618391
-120.790738,200,150.020679
-3.049559,200,153.39576
-119.149026,200,156.760967
-124.454014,200,160.153048
-223.298388,200,163.541215
-118.847699,200,166.920988
-115.475664,200,170.311558
-123.775493,200,173.693268
-1.676096,200,177.067483
-235.626121,200,180.451384
-239.994007,200,183.807142
-120.638842,200,187.140603
-229.137092,200,190.512927
-363.627482,200,193.877711
-327.0998,200,197.235261
-119.407564,200,200.606068
-118.334648,200,203.973164
-233.328673,200,207.352951
-353.114641,200,210.70888
-262.566241,200,214.04166
-122.929191,200,217.420913
-122.975818,200,220.823332
-126.132118,200,224.202385
-122.242271,200,227.594454
-0.788147,200,231.022408
-114.585341,200,234.39657
-120.159181,200,237.784599
-116.313171,200,241.185233
-121.594786,200,244.590827
-1.71961,200,247.98471
-121.192809,200,251.407359
-116.171051,200,254.789744
-227.472324,200,258.142106
-1.792435,200,261.561533
-233.886497,200,264.951301
-121.091258,200,268.343195
-125.524959,200,271.738546
-230.904433,200,275.092324
-1.256207,200,278.480417
-231.09677,200,281.88936
-231.708717,200,285.240389
-122.259233,200,288.643476
-114.230873,200,292.043801
-227.157798,200,295.420064
-115.086564,200,298.82804
-242.610409,200,302.233234
-122.585904,200,305.588322
-119.387819,200,308.987783
-245.652148,200,312.374472
-352.7075,200,315.764378
-236.797476,200,319.189472
-135.612995,200,322.591491
-256.758986,200,325.995407
-234.384054,200,329.335794
-1.722208,200,332.724269
-142.91445,200,336.102721
