#{"t_start": 1650885074.948053, "env_id": "CartPole-v1"}
r,l,t
12.0,12,1.668541
16.0,16,1.676944
22.0,22,1.749112
90.0,90,1.967798
98.0,98,2.189953
88.0,88,2.406783
205.0,205,2.869737
160.0,160,3.24169
146.0,146,3.605847
167.0,167,3.992091
106.0,106,4.226171
240.0,240,4.814362
154.0,154,5.125239
133.0,133,5.482543
219.0,219,5.962214
163.0,163,6.398546
500.0,500,7.548996
500.0,500,8.752796
500.0,500,10.681048
500.0,500,11.877341
500.0,500,13.078081
500.0,500,14.215615
500.0,500,15.437178
