#{"t_start": 1652090324.949876, "env_id": "Pendulum-v1"}
r,l,t
-1523.161114,200,0.105214
-929.494294,200,0.173941
-1490.979071,200,0.253778
-1779.359952,200,0.326191
-967.249288,200,0.394412
-1601.500566,200,0.467414
-1677.855385,200,0.529551
-969.95429,200,0.58551
-1285.908388,200,0.640857
-885.166636,200,0.696789
-1459.562984,200,0.753108
-1557.83061,200,0.810267
-761.476338,200,0.866488
-1177.378047,200,0.923381
-1288.61919,200,1.001246
-1360.983006,200,1.072024
-856.219716,200,1.148659
-883.364878,200,1.234425
-1483.130575,200,1.316929
-1171.144113,200,1.390865
-1181.564772,200,1.46243
-1396.403436,200,1.530708
-1688.94192,200,1.595393
-1195.005008,200,1.661724
-1531.767553,200,1.734848
-1324.109038,200,1.805028
-776.197295,200,1.870471
-1106.410076,200,1.925047
-747.990838,200,1.978153
-1313.091769,200,2.03227
-1557.057744,200,2.086066
-1521.942243,200,2.145805
-1350.755846,200,2.250205
-1515.230265,200,2.317744
-1677.146054,200,2.439113
-1269.741236,200,2.56635
-1397.968634,200,2.637256
-864.2195,200,2.696196
-1047.35088,200,2.757003
-1560.572251,200,2.824414
-1402.352608,200,2.885552
-1532.442517,200,2.946007
-770.730655,200,3.001434
-1286.927992,200,3.058838
-1564.002261,200,3.116647
-1079.824893,200,3.173975
-1311.79387,200,3.228958
-1598.682838,200,3.282553
-1738.382629,200,3.340038
-1346.82109,200,3.394924
-1070.510074,200,3.519887
-1770.463244,200,5.57062
-1548.856093,200,7.597626
-1446.282303,200,9.713129
-1480.900944,200,11.80426
-1331.321142,200,13.912427
-1224.262452,200,16.149214
-808.436766,200,18.210349
-1080.299082,200,20.230962
-793.642156,200,22.258929
-1043.208152,200,25.093539
-139.73221,200,28.045393
-131.117088,200,30.351091
-125.195952,200,33.085002
-125.658506,200,35.288045
-283.559647,200,37.554749
-124.32123,200,39.887922
-118.615878,200,42.299247
-227.126484,200,44.491184
-123.260554,200,46.848313
-1.011796,200,49.889326
-122.461584,200,52.503961
-351.628804,200,54.69328
-347.771375,200,56.899825
-1.605781,200,58.989147
-245.992976,200,61.04503
-5.734267,200,63.179689
-4.23039,200,65.390496
-1.511805,200,67.481337
-119.496114,200,70.589283
-348.670168,200,72.800116
-118.913546,200,74.805054
