#{"t_start": 1650974409.606935, "env_id": "CartPole-v1"}
r,l,t
9.0,9,0.022119
25.0,25,0.106382
11.0,11,0.113195
14.0,14,0.121425
24.0,24,0.197635
38.0,38,0.27741
17.0,17,0.355548
21.0,21,0.369473
31.0,31,0.454002
13.0,13,0.52214
20.0,20,0.535425
27.0,27,0.612318
28.0,28,0.703821
30.0,30,0.782216
57.0,57,0.939286
26.0,26,1.015361
111.0,111,1.310209
124.0,124,1.695023
107.0,107,1.998881
116.0,116,2.351855
106.0,106,2.612474
215.0,215,3.197409
164.0,164,3.602457
83.0,83,3.834105
35.0,35,3.910745
135.0,135,4.226924
115.0,115,4.535279
101.0,101,4.772049
180.0,180,5.168947
227.0,227,5.763481
350.0,350,6.548756
500.0,500,7.8052
500.0,500,9.790639
500.0,500,10.986151
500.0,500,12.191271
500.0,500,13.395247
500.0,500,14.594544
500.0,500,15.873356
500.0,500,17.867914
500.0,500,19.247613
500.0,500,20.523533
500.0,500,21.661208
500.0,500,22.87194
500.0,500,24.03797
500.0,500,25.935621
500.0,500,27.11781
500.0,500,28.197554
500.0,500,29.341847
500.0,500,30.531309
500.0,500,31.802932
